Tweet,Class
احلام أنسانة طيبة جدا وكريمة,N
أحلام هذه ما تركت واحد في حاله شتمت كل الفنانين  ما بها هل هي مجنونة,N
من الي يسمع لراغب علامة والله عمري ما حبيت ولا اغنية لة بس احلام أسطورة فن الخليج والله اسمع احلام من يوم ماكنت صغير,N
"راغب ما بحب احلام لانها موشقرة متل نانسي ولا عيونها خضر زي هيفا ولا نحيفة زي ميريام ,,,,
بدو هز ونط ورقص ,,, وهذا ليس دفاعا عن احلام بقدر ما هو ايضاح حقيقة راغب وماذا يريد بالضبط ..,,",N
"و الله راغب علامة سيدك و أستاذك،لو مشيتي سترتي نفسك أحسن...
و ما تصدقي إنك ملكة إلي سماك ملكة كذب عليكي، إنت vulgaire برشا برشا",N
,N
,N
,N
,N
,N
بحب احلام,N
بالمختصر سبب حرب الاعلامين ل احلام لأنها سنيه,N
,N
,N
,N
"انتي لو عندك ثقة في نفسك ما تتحدثي بلهجة غيرك ولهجتك الاصلية مفهومة ومعروفة!

انتي معتهوهة وراغب علامة شخص واطي وابن سوق!

كلكم اخيس من بعض واللي شفناه بين للمخدوعين أي مستوى منحط من البشر انتم!",P
ملكه وخليجية,N
يعجبني في أحلام ..عفويتها و بساطتها ..فضلا عن نجوميتها...,N
يرحم امك خليكي على كلام الخليجي بس,N
حيلهم بينهم,N
وع,N
احلام وربي بطلة لكن الناس و الفنانين صاروا يغارون منها و صار مهضوم حقها و العين كلها عليها :(,N
رافع ضغطي المذيع,N
احلام ملكه يعني ملكه غصب عن خشم الحاقدين,N
اكره المذيع,N
راغب يكره احلام لان شعبيتها اكثر من عنده,N
يعجبني باحلام  مجادلاتها وماتتركك حقهااااااااا,N
عيونها متل بان كيمون كل مالها تتقلص -__-,P
هههههههه,N
طيب أضربيه ترينه خنيث بعدين أنتي أقوى منه,P
تستاهلين ههههع,N
"هههههههههههههه
ممكن أحد يوضح لي احلام ذي لبنانيه ولا اماراتيه ولا ايرانيه
مجرد اسمع حكيها انعوج لساني خخخخ",N
ويش فيها شيعي يعني؟,N
راغب زنوه شيعي,N
احلام انتي رائعة لا تردي على يلي بيزعجوكي.  :) برافو عليكي جريئة,N
راغب عﻻمه بربربربر عاشقة احﻻم,N
راغب ماهمه المشتركين والغلط من الشيخ الوليد ال أبراهيم المفروض يقوله بربربربر,N
احلام انتي عسل,N
ارب ايدول لولا الله ثم احﻻم ماكان من افضل البرامج ذى فويس تافه,N
احﻻم طفرانه تكفين ساعدين,N
احﻻم وبس والباقي خس,N
احلام اهم شي فالبرنامج,N
متخلفه كل شوي بلهجه اثبتى على شي واحد,P
معاك يالملكه,N
اكسوزمي,N
انتي كنتي كوميديا مش اكتر وكلنا منعشق راغب ومستحيل حدان يتخلى عن راغب ادام جنابك لك شوفو كيف جالسة كأنها بتتكلم  مع خادم عندها,N
انتي الملكه,N
احﻻم رائعه وهي روح البرنامج وهي من اعطت قيمه فنيه كبيره للبرنامج و راغب تافه كالعاده في كل شئ.وايش قيمة راغب رئيس لجنة الحكم وهو انسان فارغ و غير مؤدب وكان في كثير من اﻻحيان بتعليقاته الحقيره وتلميحاته السافله يخلي البرنامج غير صالح للمشاهده العائليه.,N
تمغص لما تتكلم لبناني,N
البرنامج اسمه انا والعسل هاذي حتى ولا هي دبس هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,N
"المللللكة وبس وصدقووني لو تطلع هي من البرنامج راح يصير هبووط فضيع بنسب المشااهدين ، وانا اوؤيدهاا بموووقفهاا",N
"اعجبت بموقف احلام في الحلقة لما ما حبت حد يتطاول على الله ولا على الاسلام، خاصة لما قالت ربنا قادر يخلق مثل فيروز، وقادر انو يشيلنا كاملا وياتي بخلق جديد، تحية مني ليكي يا احلام",N
انا اقول لازم ما تكون موجودة احلام سنة الجاية بالبرنامج لان هل السنة بتعليقاتة السخيفة صار للبرنامج ابعاد سياسية ودينية اضافة اللي تصرفاتها المجنونة ..وبالنسبة الي رئيس لجنة اكيد راغب هو رئيس لجنة لان قادر على هل الشي بالدبلومسيتة .. وكارت الانقاذ هل السنة راح على الفاضي .كان المفروض راح اللي سلمى رشيد او برواس حسين ...,N
انتي هبله,N
"يا احلام المشكلة مع راغب انه شيعي قذر 
اسالي اهل سوريا عن خيانة حزب الشيطان لاهل سوريا 
الشيعة هم اوسخ من في الدنيا واقذر بني البشر",P
لا يوجد الا قيصر واحد..كاظم الساههههرررر,N
غايرين,N
انتو بتكرهو كاظم الساهر لانه احسن منكو تحياتى من مصر للعراق😍😍😘,N
بالعكس احسن واحد كاظم الساهر,N
كاظم هو قيصر الغناء وقيصر الحب وقيصر الأخلاق وقيصر الإنسانية وقيصر الذوق,N
لا البرتقالة جميلة هههههههههههههههه 😂😂👞💔,N
شو لبنان تكول انطلق من عدنا والكويت تكول منعدنه 😁😂😂😂😂,N
اريد ارد بلي  يستاهلو بس لان ابو جويده مثلي الاعلى باخلاقه  الي مثل الذهب ماراح ارد واكول هذوله نفسيا تهم  تعبانه,N
كاظم الساهر  ده استاذ بجد بخلقو مش زيكم عمل يهب علي الفاضي لا عندو اخلق,N
الفن الريفي لك امشي شافط انت وفنك الريفي,P
هههههه,N
لا أحد ولا غير أحد يستطيع التفوق على قيصر العرب والعالم كاظم الساهر,N
"كاظم الساهر. 
من الفن العراقي
الصيل وفنان. 
متواضع وجميل",N
الله يرحمو لملحم بركات بس على اساس بلده بلد السلام ما كل دول الوطن العربي تعرضت لحروب ومشاكل شو هالتفسير هاد😂,N
ليش تغارون من القيصر تاج راسكم,N
لصاحبة الفيديو رقم  2 و خاصة صاحب الفيديو رقم 3 .لا اعرف اساميهم في الحقيقة............ لولا عاصفة الصحراء,N
التراب المشي عليه الاسطوره كاظم يسوه فنانين العرب كلهمممممممممممم بمعنى كلمة كلهم,N
هسه ما افتهمنا العراق بالواسطه طلع كاظم لو لبنان لو الكويت لو ابو لهب طلقه شو كلها سفرته ووكلته وشريته شهل حقد والغيره وهذه المذيعه الكويتيه عيب عليج لغيتي لغوة وخرطت ولزكت السياسيه بالفن بس ده تسوي نفسها اعلاميه وهي متعرف الاعلام رساله ساميه مو دس للحقد والضغائن  حرمات الكويت اطلع هيج مذيعه ونبيل شعيل ابو الثرب شدعوة عليك هلكد مضغوط وله هذا العراقي التافه ابو ابريف دروح البس قميص بي حظ وجورج وسوف اكبر عياره ذوله شنو واحد ياكل بالخ عوذه,P
هاذه رقم واحد ممكن اعرف منوه ومن يادوله,N
الكويت مالتنه انتو جزء من وطنه بس حاربتو وغيرتو لغتكم المكان العايشين بي ملك من ارضنه وحقه يعيش وين ميريد وغصبن عليكم يكعد وين ماكان وانتو مضغوطين منه لان احلى من صوتكم,N
ههههه مضغوطين السعوديين,N
كاضم مطلع من لبنان ولا الكويت ياكلاب ياحقييرن هوه وطلع من العراق وغنه بالعراق,P
انتو مصنعتو كاضم كاضم هوه صنع نفسه غنه بالعراق اول شي وعدنه بالعراق احلا اصوات انتو شنو صنعتو  سعدي الحلي او غيره مصنعتو احد وهسه كومه دول تسمع المغنيين العراقيين غير كاضم ومو بفضل لبنان,N
يبو البرتغاله 😂😂,N
كاضم الساهر  اكثر مغني ناجح عراقي,N
ملاحظين اغلبيتهم لبنانيين و خليجيين يضوجون منه لان احسن منهم,N
"هههههه الكل ينسب نجاح كاظم الساهر إلى نفسه وبلده. 
ونسو أن النجاح والفشل بيد الله
ولكل مجتهد نصيب",N
ولا واحد انتقد كاضم وهو مطرب نبيل شعيل بس مرتك 😂😂😂😂😂😂😂,N
"المذيعه الكويتية 
كاذبه الف 
كاظم الساهر مليون مره يمدح الرويشد 
بس باقي الكويتين كرهين",P
"ههههههههههه تجمع العشره ذول 
مايجون جذاء كاظم",P
والله غيرانين وضعيين انتم قدام القيصر ولاشيء,N
حجي سعدون جابر صحيح,N
"كاظم الساهر شئتم أم أبيتم يبقى اسطورة وأخر العمالقه لكن من يصنع الفنان سواء كاظم او غيره هو الجمهور .. الفنانين الانطوا رأيهم بكاظم ممكن يكون كلامهم مجرد رأي او يكون لأسباب اخرى الله أعلم بيه بس هذا مو يعني احنه نسب و نشتم و نسب دول و عالم لمجرد انتقادهم فنان 
شباب ارتقوا كاظم الساهر فنان راقي صاحب اغاني راقيه لذلك اكيد جمهوره راقي مثله ميليق بي هذا الكلام الجوه بالتعليقات ...",N
نضال تقول لبنان الي طلعته و الاعلاميه الكويتيه تقول الكويت طلعته!؟؟؟؟ كاضم طلع من نفسه مش بلد طلعه لو موهوبته م طلع😹,N
"رقم 2 مذيعة مريضة نفسياً, م قد سمعت لكاظم شي ولا اعرف اغانيه بس هي منجد سايكو.",P
وبعدين كاظم الساهر هو من صنع نفسة بصوتة الجبار وموهبته العظيمة الي ماراح تتكرر ولا راح توصلو ربعها !,N
"كل من بغى الشهرة جاب سيرة القيصر ، عاهات الفن مين يشره عليهم خلوهم ينابحون لبكرا 😂",P
ههههههههههه والله اشي يضحك يعني لان الرجل ناجح تنتقدوه لانه صوته حلو والله هذا لا يدل على النجاح وحده بل والتفوق على الجميع,N
القيصر 😍😍😍😍😍😍😍😍ربي يحفضك ويباركلك في اخلاقك,N
افضل تعليق في مكانه هو تعليق الفنان محمد عبده .انة لو كان صوتة حلو اكثر شوية كاظم صوته ينتهي بمجرد انتهاء اغنيته .,N
الرجل اللي طلع بآخر فيديو مين يكون !؟ ممكن اسمه أحب أطلع على فنه هل هو حقا أفضل من كاظم!؟,N
شكد داقهم فنان بانسانيته واخلاقه ماعنده ولا مشكل وي اي احد,N
ضحكني محمد عبدو لم قال لو كان احلى اشوي  كل هلااحساس وصوت راىع لكاضم حتي كاضم صوت احلى من صوتك,N
الي لاحظته بلفيديو كل من يسب القيصر هم يا اما مجانيين مثل الحمدان ماعرف اسمها وثانيه المجنونه اللبنانية الي تسب احلام حتى مااعرف شنو وظيفتها لا هي فنانه ولاهي ممثله مجرد تشتم اما البقيه يتكلمون كانهم ثملين مثل بركات وجورج وسوف 😂😂😂😂😂يااخي حتى ماكو اي مقارنة بين الناقدين وكاظم بس كم فنان انتقد بطريقه حضاريه مثل جسار وسعدون 👍,P
,N
ههههه نجومية كاظم الساهر وابداعه اكتسحت من يتصورون بانهم نجوم وجعلهم اقزام امام فنه الذي تخطى حدود العرب حتى وصل هوليود,N
"ههههههه كل واحد يقول احنا سوينا كاظم 
هذي تقول عبدالله رويشد ونظال احمدية تقول البنانيين وجورج وسوف يقول انا ....والله ماحد يسوي حد هذا عطاء من رب العالمين",N
"انشالله تنجلطين من ورى قهرج مذيعة هاي لو حربية وهذا الدب الاسود نبيل روح بابا 
من يجي لعدنا يكلك اني رحت حبيبي نبيل روح افتهم قصد القيصر من يغني مايقصد اهل الكويت لا تفكيرك جدآ محدود يادب هو قصده ينقل معاناة بلدنا الي واحد مثلك صعب يفهمه
اذا نقل واقع حال العراق مو معناه انك انت يالكويتي المسؤل عنه 
وتحياتي للكويت حبايب كلبي واهلي وناسي فديتكم",P
من 2016 وعم قول روحوا وشوفوا البوم ''كتاب الحب'' واسمعوا منيح وبوقتا تعوا وانا عندي حيط يخبطوا راسكم فيه 😂😂,N
,N
مظغوط,N
انتو اتعرفون علمنو تحجون عله تاج راسكم  القيصر,N
تروحوله فدوه,P
كاظم الساهر اسطورة اعتقد في ناس ميته حرة وحقودين وحساد,N
لاااااااا البرتقالة جميلة😂😂😂😂😂😂,N
والله ماعرفنا هو نجاحه في الكويت ولا في لبنان,N
جورج وسوف جبتو شهادتو عالقيصر بس فهالبرنامج..فبرنامج تاني نقص بكل اعضاء لجنة تحكيم دو فويس و مدح كاظم و قال انو وحدو اللي يستاهل يكون باللجنة بخبرتو...عكل الحال القيصر اكبر منهم كلهم و كايدهم,N
يعني ما فتهمة .اللبانيين يكولون احنة عملنة من كاظم الساهر نجم والكويتيين يكولون انطلق للنجومية من الكويت مع العلم انو هواية من فنانين الخليج كانو يغنون بستوديوهات العراق امثال عبد الله رويشد نبيل شعيل .لكن الغيرة من النجاح واضحة بين من كلامهم .تحياتي للنجم العراقي اللامع كاظم الساهر,N
الكويتيين كلهم هربوا من الكويت أيام الأزمه للسعودية و الامارات و جايين يعيبوا على كاظم الساهر ليش ما يروح العراق هههههههههههههههههههههههههه الله يا الدنيا,N
العراق تاج راس العرب,N
مش معقولة كمية الحقد على مطرب وفنان كبير مثل كاظم بصراحة شي مخجل انهم يتكلموا على كاظم بهيك طريقة لكن الغيرة دبحتهم لازم يتعملوا من كاظم كيف احترام الناس لمن هوا يحكي عن الفنانين,N
مضغوطين 😂😂,N
شنو الموضوع شو كلها تكول احنا النا فضل ع كاظم,N
ماضحكني غير صباح اللامي هو انت منو حته تحجي ع كاظم تاج راسك,N
"ههههههههههههههههههه يابوية شمسوي بيهم كاظم 
شوف هاي المذيعة رقم 2 اتكول ليش كاظم ما يمدح الفنانين الكويتين 
ليش هوة الكويت بيهم مغنين بيهم حظ",N
,N
هههههههههههه ظهور كاظم ادى لاعتزال وتهميش كل هؤلاء,N
"تروحون فدوة لأسم كاظم الساهر 
جورج وسوف صدمني ما اكًدر اعلق عليه لأن احبه واحب كاظم الساهر 😔😔",N
كلهم بيغارو منه هو بقي وهم انتهووااا,N
قريبا ......مقاله بعنوان اسطوره بغداد بقلم الإعلامية عبير السمان,N
هههههع والله العضيم هذول الناس الي عندهم مرض النفسي  بضحكووو كتر كتر😆😆😆😆,N
,N
"?..مسائكم سعيد يا شباب,ممكن حد يقول لي اسم المذيعة اللي وردت في المقطع 2 من التوب تن",N
اقسم با الله لم أرى الى حد الان مطرب مرهف و شاعري واحساسههه يشق السمااااء  مثل كاظم الساهر ولان ارى بعده حاله استثنائيه بكل ما تعنيه الكلمههههه قيصررررر العرب,N
كاظم معطيها وضعية أي أي عدل عدل كملو 😂 كل من طلع قال انا اللي خليته ينجح كبيير يا كاظم,N
يبووووي حتي كاظم هم ماسلم منهم الله عليك ابو وسام مبدع ومحترم طول عمرك,N
يمه فديت الضاغطهم,N
تاج على روسكم,N
البرتقالة جميلة 😂😂😂😂,N
حياتي كاظم ضاغطهم وجالطهم هههه,N
تاج راسكم القيصر,N
"كاظم رائع
موهبته وصوته واختياره لاغانيه هيه اللي خلته يشتهر
الناس تحبه 
مو مهم رائي الاقليه
ليش يدخلون المواضيع السياسيه بالموضوع
بعدين كل دوله تسوي نفسها انو اشتهر بسببها
ترى ماكو هيجي شي
الجماهير تحبه
انتو منو وشنو
بغض النظر عن جنسيته
سواء عراقي او لا",N
عير بيج وباكويت,N
كاظم صوته عادي بس أغانيه حلوة,N
فعلا كاظم محظوظ والا بالعراق عدنا أصوات احلى منه,N
مبسوطين من القيصر ابو وسام,N
,N
كاظم السهره اسظوره احبك  اجمل صوته,N
شوفو كيف كاظم محبوب وانتم كيف لا نجومية ولا نجاح .. لانه يركز في فنه ولا يلتفت لتفاهات والتصاريح المريضه,P
انوب هاي السكرانه علينه دكول فضل الكويت ع كاضم والله اخاف احجي حجايه واخرب سمعتي,N
يومه الغيره يومه مضغووووطيييين من القيصير,N
"واحد يقول لبنان هي سبب نجاحه 
والثاني يقول انا سبب نجاحه 
وبعدين صارت كويت سبب نجاحه 

هههههههههههههههههه حارقهم",N
اني عراقي وافضل مطرب ب تاريخ العراق (حسين نعمة-سلمان منكوب-كاضم الساهر) افضل اصوات ب تاريخ العراق,N
,N
نتي ليش متعبه روحج ولج كاظم تاج راسج وراس لكويت كاظم منان وغصبن عليج وذاطب اللكويت يغزي,N
نبيل شعيل فگر منتبه لل ساعه,N
,N
محمد عبده مضغوط لو صوته احلى,N
والله مضغوطين,N
ههههه شوف هذا ابو الريف حقك ملطلط والبرتقاله جميله,N
الميلوح العنب شيكول,N
كاظم تاج رأسك هو جذر الأغاني تعال خلي كاظم يعلمك اشلون اتغني يا غبي يا غيارين,P
نبيل شعيل يمدح نفسوا كل كلامه كذب في كذب,P
صوت كاظم نادر ما اكو صوت مثل صوته نخاف اتصيبون ابننا بالعين من حسدكم عين الحاسود بيها عود مشششششششششششاء الله,N
أساءوا و  أساؤوا ماكو اسائوا,N
ههههه هيدا شي بصالح كاظم كل الدول وكل فنانين بقولو ساعدوه هههههه حيرتونا,N
كاظم ساهر مارتاح غير في المغرب مقيم في الرباط,N
ګأّفِّيِّګمَ غٌيِّرهِ,N
كله هذا من الغيره يبقى القيصر,N
#مكهوووورييين من كظومي تاج راسكم القيصر 😛✌,N
كاظم فنان كبير طبعا مأخذ لحن من الرعيان,N
هم حاسبينكم دولة (الكويت) هههههه,N
نبيل شعيل انا معك,N
مضغوطين من القيصر وهايالمشكك,N
صباح الامي ولك انته قميصك وصله مسح ميرهم تحجي على قيصر وعلى نجاحه وثقافته,N
"بس اريد اكول شي للي يتكلم عن العراق والكويت ..

أولاً الكويت محافضه من محافضات العراق  
ثانياً لو نريد نفتح صفحه حرب وياكم جان اخذناهه وخاوه بس من راح صدام حسين كمتو تحجون 
المهم  ماكو فرق بين العراق والكويت",N
هههههه هيج مضغوطين من القيصر,N
"الساهر؟؟ 
قيصر الشرق
 ومطرب الاجيال 
وفنان الفرسان
 ومغني العشاق
 ونغم الاحساس 
وروح الهوى
ونفس الحب 
ذوق واخلاق وطيبه وتواضع وذكاء وحكمه وتميّز واناقه وروح ووسامه واحساس وفن وصوت وموسيقار واداء وتحياتي",N
"مايهمني لا المقصود من المقطع ولا المتكلمين بس عيب واحد يعير بالفقر .. 
جورج يقول معتر والصحفيه اللبنانيه تقول مايملك قرش صحيح فقير بس عارف حدوده ..",N
"اكيد لكل فعل ردة فعل .. واعداء النجاح كثيرون ..
كاظم الساهر فنان واخلاق لم اسمع ابداً انه تكلم عن اي فنان بسوء وهذا دليل على اخلاقه العالية اغلب الذين انتقدوا فيهم نقص من ما يملكه كاظم دونهم .. الا وهو محبه الجهور العربي له . شكراً لكم",N
"#مقهورين#مضغوطين
الفنان كاظم الساهر تاج راسكم 😍",N
نظال القندرجيه كويسه وجورج فسفوس كويس ومحمد عبوده كويس ووائل كساااس كويس ونبيل برميل كويس وصباح الامي كويس والكويت يتمنون كاظم يجي يمهم,P
رقم سبعه ليش مشهوره وياخذون بتعليقها,N
"الله اكبر هيج تنجنون من القيصر كاظم الساهر
بس احب اوضح لكم شي .. كاظم الساهر عملاق وكبير وتحلمون توصلون المكانه ويكفي هوه مستحقركم ميرد عليكم",N
من هادي التانية الى حاب يشتهر بجي يتكلمون على ارقى الناس شكون انتي الى تتمنين سيدك كاظم مايدش الكويت,N
أنا لفترةةة طويلة كنت بعتقد أنو كاطم سوري بس بعدين عرفت  بأنو عراقي تحية من سوريا الك كاطم,N
اتروح فدوه الكاظم الساهر,P
رقم 5 يخربط .. اول مره اعرفه .. اما محمد عبده فشلنا حسبي الله عليه لا عاد تطلعونه لقاءات وخلوه يغني بس والا يكمل تعليمه,P
اهم شيء لاااا البرتغاله جميله .. برتغاله تفقع وجهك وين الجمال فيها !!!,N
ولله واىل جسار صوته احلى من كاظم الشايب,N
تاج راسكم كاظم الساهر سفير الاغنيه العربيه,N
ههههه والله كلكم مضغوطين منه,N
ربي حفظك من حاقدين حاسديك كظومتي,N
ههههههههههههه,N
"طلعوا هذول كلهم جايبين كاظم الساهر وكل البلدان العربيه تكول احنه سبب وطلعنا كاظم الساهر وطبعا"" مو الشعوب لتحجي لكن هؤلاء مايمثلون بلدانهم",N
تروحوون شلع قلع لعيونة. والشخصيتة هه,N
اصلا هو انشهر و ستار علاه الغيرة هادي لي ميطول العنب حاااامض عنه يقول......جزائرية,N
مقهوررين من الملك,N
كاظم يكفي انو هوه فنان العرب الاول ومراح يجي مثله فنان لا قبل ولابعد فل يحجي على كاظم هذا مو يم الفن الموسيقار الكبير كاظم الساهر,N
يابه اكول الرسول قل خيرا او اصمت فالرسول كال الي يسوي عمل هير مو اله ينشرهه على الجرايد يكفي انو اله عرف بعملك وبعدين كاظم مو هوه الوحيد الي معليش لبلده اكو هواي مشاهير وطنهم ما بي شي لا حرب ولا اي شي وأمان بس هوه طالع لغير دوله أما كاظم طلع لأسباب طبعا سوو عليه ماكو هيج عبالك اول مره بس الغرور يسوي كل شي ويطلع حجي من جوه ألم اه ما اكول إلا الحمد لله على نعمه العقل,N
مقهروريين من القيصر هههههه مضغوطين ومقهورين خطيه هههه والله حالتكم اتبجي الي يحجون على كاضم الساهر,N
اول فيديو لواحد كويتي مدري عراقي ما عرف الي اكول صوت كاظم ميسون شعره من الفن العراقي اكول صير صوتك احلى من صوته ياله تحجب هيج وعلى عناد كل مضغوط #يبقى صوت القيصر احلى صوت,N
يأبه هذا القيصر صوته من ذهب شدتحجون انتو صوته اجنن,N
يغارون من كاظم والللله,N
المذيعه رقم 2 شبيها سكرانه يجوز شاربه بلنكو😂😂😂😂,N
,N
كل اللي انتقدوا كاظم ما يحق لهم لانه بصراحه اشهر وانجح منهم بس محمدعبده يدرس كاظم ما هو الفن,N
حذاء القيصر على راس كل الي عم يحكي عليه وبدكن 19000000000000000000مليار الف سنة لا حتا توصلو لا لقبه وكبره ومحبت البشر له,N
وانتوا منوا حتى تعلق ع صوت السفير,N
البرتقاله جميله😂😂😂😂,N
افضل مطرب بالعالم كاظم الساهر هلاء توافه ما ياثر على قيصر,N
الكل الي تكلم يغارون من القيصر والدليل هم فاشلون أو ما واصلون 1  بالمئة من نجاح كاظم كاظم الساهر كبير في اخلاقة ماايرد عليهم بس معجبية ملاين انتم ماتاثرون علية يا فشلة لا للكويت ولا لبنان ولا أي بلد علية فضل صوتة واحساسة واغانية كبيرة تجعل من فنان في أي وقت وفي أي زمان أقوى فنان شهد له التاريخ الكويت ماتشرف كاظم يغني فيها الكويت ههههههه 876الف  نفوس  البلد كاظم الساهر النجم الساطع,N
الغيره وماتفعل .كلهم يكولون احنه صنعنه كاظم دليل على عضمت هذا الشخص,N
يا مريض نفسي ويا غيور يتكلم عن القيصر تعرفون شنو القيصر إمبراطور الغناء العربي وقيصر الغناء العربي مقهورين من الملك,P
تره صدك صوت كاضم ما بي حنية,N
"حقد وغيره من فن كاظم الساهر وابداعه وجمال صوته وجمال الحانه ،،،",N
دكافي غيره انسان ناجح ومتالق ومحترم وانتوا كاتلتكم الغيره,N
طب قاعدين يحكو ويقهرو حالون و يموتو  وهو يبقى الافضل في العالم  والناس تحبه  ( لما طلع كاظم اختفى كل هدوووول الفنانيين الي انتقدوه  وما حدا بينكر انو كاظم غطى عليهن و ضل هو الاول بلعالم,N
كلهم يغارو من القيصر  لانه مافي غيره عراقي قدر انه يسوي اسم للغناء العراقي هو و سعدون جابر  والباقي حطه بس ليبكي وهو يغني,N
رادو ينتقصون من عنده بس معرفوا شلون 😂😂😂,N
مضغوطين من القيصر لان وصل مرحله عاليه  وهمة بقو,N
رقم 1 منهو هذا 😂😂,N
رقم 2 بالله جيبوها لي بس 😂😂,N
كاظم  القيصر يعني فوق الملوك,N
"ذوله كلهم كاظم تجاوزهم باخلاقه 
هو الفنان الي يغني اغنيه اسمها مدرسة الحب ماذا تتوقعون هل يرد على هولاء ؟؟",N
مساكين مضغوطين يكفي هاذ الرجل اسمه علامه,N
"شوف هاذا الاول
وألًلًـًـً☝️ـًـًه بطران 
الكويتين شايفين نفسهم 😒💔كطعه عليهم",N
كاظم نكر جميلي اني الي طلعته 😐😐,N
,N
,N
اني بس اريد اعرف هاذا اول واحد منو حته يحجي ع كاظم,N
هاي شبيها العالم مضغوطين من ابو جويده,N
اذا دل هذه فيدل على فشلكم وغروكم من كاظم,N
لا تدخلوا بالسياسه ولا بالدوله لانه بالنهايه كلنا اخوان و العرب واحد لا تسوون فتن بالشعوب,N
,N
,P
يروح فدوه لأبو جواد كلمن يحجي عليه #مضغوطين,P
هسة كل واحد يصرح يكول اني اكتشفت كاظم ههههه,N
انجبي يا مي العيدان شكد حاقده انتي هو اصلا كاظم يموتون عليه بالكويت,P
,N
,N
,N
,N
,P
,P
كل اللي ظهروا بهذا الفيديو اسبابهم تافهة وتنم عن غيرة او حقد فكاظم جمهوره واسع وغفير ولا يحتاج تقييم من هؤلاء اللذين هبط مستواهم إلى أدنى ...,P
ملاحظين انو الكل الشاطر يلي بدو يقول نحنا الطلعنا كاظم ماعاد عرفني مين مطلعو كويت عراق لبنان ولا مين  ؟؟,N
"كاظم تاج على رأس الكل وحب الشعوب العربية ليه مو من العدم 
احنا نموت فيه هذا القيصر الغالي",N
شگد مضغوطين من كاظم ههههههه,N
تاج راسكم وحامي عارضك تحجون علي وخاتكم تتمنى تنام بحضنه ابو وسام ضاغطهم😂😂😂,P
مضغوطين,N
كاظم اكثر انسان يساعد ناس لاكن بدون اعلام والكل يعرف هل شي مضغوطين من عراقيين اوصلو اخلاقة يلفنانيين وحجو عليه بعدين,N
بدهم شهرة ع كتاف كاظم لهذا حجو عليه ونضال احمدية تحارب مشاهير فقط,N
كاظم اسطورة غناء واخلاق وماترمي بلحجارة الا شجرة المثمرة فديتك كاظم اموت عليك,N
ضااااغطهممم كاظم هههههههههههههه طاحظكم,N
هذا المعكل الي يحجي على تاج راسه انته شنو عندك من اغاني تدري اغانيك اسمعهه بالمرافق حته يريح الجهاز الهظمي وبعدين انته بس بالسعوديه مشهور اذا تطلع خارج بلدك محد يعرفك ..,N
كلكم تغارون من كاضم لو تموتون متصيرون مثله تاج راسكم غصبا  عليكم,N
,N
,N
القيصر وبس عاش القيصر,N
غصبن عليكم كاضم سبر استار,N
هههههههههههه,N
ههههههههههه صدوك بيكم مرض نفسي شنو هالغيرة من القيصر شيجيبكم الة ليش,N
ادري وصلتو مثلن هوه راقصه قابل اشهوه اشو هوه قيصر الغنى العربي  وبعدين ليغني عربي لازم يغني ريفي هوه لحد هسه العراق بكلبه وبكل لقى يحجي عن العراق وحنه نفتخر بيه,N
"يعني تريدون يمشي بالشوارع ويصيح فلان صاحب جميل عليه.   فلان دولة صاحبة جميل 
مع الأسف حتى كاظم تحاربوه. شلون الدولة دعمته بذاك  الوقت الدولة متدعم أحد اصلا بالعكس الحكومة حاربته",N
"كاظم تاج رأس العراقيين والعرب 
استحوا  والله عيب",N
خرب بالكواد ما ضحكني غير الاخير هذا منين جايبي لخاطر دينكم .....,N
اكول انطم,N
عمي شنو ه حجي صدك جذب هسه واحد يجب ويكول انته تحكي ع هذولي المطايه عمي كاظم سطورت الطرب العربي صدك جذب شنو وائل شنو صباح الامي ماعرف شنو تتكلمون ع الحرب وع الكوت واحد يجي يكول يتنكر فضل البنان واحد مصر صدك جذب مع كل اسف ع دول العربيه شنو انته يا محمد عبدو وين انته وين القيصر ماكول بس شي واحد الله يطول بعمر القيصر ويخلي ذخر النه,N
��🙆🙆🙆 كاظم ماصار له يومين يغني اووووف قويه 😂😂 والله قاهرهم كاظم ايش هذا كل من يقول احنا طلعنا كاظم,N
��😂😂,N
مضغوطين من العمﻻق,N
القيصر علم ودوله وتاج راس كلمن يحجي عليه,N
هههههه وحده دكةل كاضم نكر جميل لبنان وحده دكول نكر جميل الكويت واحد يطول نكل جميلي والله حتار وياكم😂😂😂,N
"ههههههههه
هذوله مضغوطين",N
ياجماعة خلونا نتكلم من منطلق كاعرب دعونا من ام كلثوم وَعَبَد الحليم ومحمد عبده وشاب خالد وَعَبَد الوهاب الدكالي نتكلم عن كاظم الساهر من من هؤلاء غنو باللغة العربية الفصحى الا كاظم من هؤلاء لحن أغانيه بنفسه الا كاظم وووو الكثير من الفوارق اما الذي يتحدث عن الريفي العراقي غبي جدا انا كا جزائري لا افهم الريفي العراقي فاكاظم الساهر يعد مطرب استثنائي مغني عربي فصيح اللسان يفهم من المحيط الى الخليج,N
كلهم يروحون فدوه لحذاء كاظم الساهر,P
اكره مي العيدان😈😈,N
طبعا كل الي انطوا رأي بكاظم الساهر مرضى نفسيين,N
بالله لاتحجون على كاضم بيكم خير غنو بصعوبه غناه او لحنو مثل الحانه,N
